https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1612530000000,2021-02-05 13:00:00,BTC/USDT,37916.26,38411.82,37817.50,38333.60,12055.800,459299140.12472,116966
1612526400000,2021-02-05 12:00:00,BTC/USDT,37745.40,38219.00,37567.21,37916.26,13853.730,525950887.30128,136638
1612522800000,2021-02-05 11:00:00,BTC/USDT,37451.54,37781.07,37443.50,37745.41,5871.118,221029427.48114,77049
1612519200000,2021-02-05 10:00:00,BTC/USDT,37309.14,37735.41,37244.25,37451.54,7491.170,280981684.56457,85715
1612515600000,2021-02-05 09:00:00,BTC/USDT,37772.47,37840.00,37242.67,37311.35,8083.122,303658932.40079,83648
1612512000000,2021-02-05 08:00:00,BTC/USDT,37708.46,37867.10,37451.00,37772.46,8097.227,305118025.63454,92354
1612508400000,2021-02-05 07:00:00,BTC/USDT,37422.72,37780.00,37422.72,37708.46,7206.643,271081802.61538,81535
1612504800000,2021-02-05 06:00:00,BTC/USDT,37106.83,37739.37,37057.01,37422.39,10524.862,394152875.70320,101635
1612501200000,2021-02-05 05:00:00,BTC/USDT,37311.67,37405.18,37052.09,37106.66,5242.133,195202108.71548,68013
1612497600000,2021-02-05 04:00:00,BTC/USDT,37424.55,37574.92,37250.00,37311.66,5742.479,214593635.21609,73970
1612494000000,2021-02-05 03:00:00,BTC/USDT,36983.25,37449.52,36936.08,37424.55,8217.387,306219988.54068,89611
1612490400000,2021-02-05 02:00:00,BTC/USDT,36670.90,37028.93,36630.00,36983.26,6358.414,234121409.31726,70987
1612486800000,2021-02-05 01:00:00,BTC/USDT,37030.23,37345.32,36586.68,36673.79,7766.671,287590458.85289,85522
1612483200000,2021-02-05 00:00:00,BTC/USDT,36975.19,37278.53,36825.96,37030.23,6845.795,253822135.59165,82953
1612479600000,2021-02-04 23:00:00,BTC/USDT,37293.01,37430.98,36867.54,36976.93,6956.383,258325558.19193,79971
1612476000000,2021-02-04 22:00:00,BTC/USDT,37683.11,37741.00,37000.00,37292.27,8709.408,324577703.14506,89579
1612472400000,2021-02-04 21:00:00,BTC/USDT,37665.02,37767.70,37333.90,37683.10,7722.927,290036366.23478,81368
1612468800000,2021-02-04 20:00:00,BTC/USDT,37508.08,37859.33,37403.76,37664.35,10173.407,382800867.69290,105631
1612465200000,2021-02-04 19:00:00,BTC/USDT,37163.43,37575.83,37003.43,37508.08,8712.906,324832709.22509,89189
1612461600000,2021-02-04 18:00:00,BTC/USDT,36920.53,37473.39,36805.00,37164.77,12120.683,450726686.48963,109136
1612458000000,2021-02-04 17:00:00,BTC/USDT,36959.03,37100.00,36821.00,36920.54,7333.975,271050004.80924,79166
1612454400000,2021-02-04 16:00:00,BTC/USDT,36605.43,37016.81,36450.89,36959.04,12030.258,441934766.35871,105234
1612450800000,2021-02-04 15:00:00,BTC/USDT,36840.00,37006.16,36233.00,36604.61,23681.398,866571411.60044,187892
1612447200000,2021-02-04 14:00:00,BTC/USDT,37632.80,37777.00,36672.48,36840.01,17741.494,659652792.57204,153010
1612443600000,2021-02-04 13:00:00,BTC/USDT,37666.56,37744.51,37302.00,37635.40,8085.314,303368820.52154,91553
1612440000000,2021-02-04 12:00:00,BTC/USDT,37356.21,37800.00,37066.00,37667.35,12949.059,485336217.77244,122506
1612436400000,2021-02-04 11:00:00,BTC/USDT,37653.29,37961.50,37350.00,37361.16,13039.063,491511822.54804,116799
1612432800000,2021-02-04 10:00:00,BTC/USDT,37550.01,37824.60,37251.10,37653.28,9517.710,357540559.76965,101730
